Sample Code,Seq,Drain,Site,Rep,Size,Vol L,Total Fragment Count,Fragment L,Total Film Count,Film L,Total Bead Count,Bead L,Total Fibre Count,Blank deduction,Total Fibre Blank Correction,Fibre L,Total MP Blank Correct,corrected counts,corrected counts perL,FP rate,corrected count across sizes,corrected count across sizes/L,catchment area ha,catchment population,residential proportion,industrial proportion,services proportion,agricultural proportion,natural proportion,public open,rainfall week prior mm
O2.3.1,69,O,O2,3,1,5,6,1.2,0,0,0,0,34,1,33,6.6,39,19,3.8,0.513,64,12.8,2324.4,49291,65.8881,16.0097,15.4745,0,2.4331,0.1946,6.8
O2.3.2,70,O,O2,3,2,5,8,1.6,0,0,0,0,39,2,37,7.4,45,23,4.6,0.489,64,12.8,2324.4,49291,65.8881,16.0097,15.4745,0,2.4331,0.1946,6.8
O2.3.3,71,O,O2,3,3,5,3,0.6,0,0,0,0,31,1,30,6,33,17,3.4,0.485,64,12.8,2324.4,49291,65.8881,16.0097,15.4745,0,2.4331,0.1946,6.8
O2.3.4,72,O,O2,3,4,5,0,0,0,0,0,0,22,1,21,4.2,21,5,1,0.762,64,12.8,2324.4,49291,65.8881,16.0097,15.4745,0,2.4331,0.1946,6.8
K1.1.1,73,K,K1,1,1,10,1,0.1,0,0,0,0,53,1,52,5.2,53,28,2.8,0.472,105,10.5,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.1.2,74,K,K1,1,2,10,0,0,0,0,0,0,81,0,81,8.1,81,37,3.7,0.543,105,10.5,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.1.3,75,K,K1,1,3,10,2,0.2,0,0,0,0,44,1,43,4.3,45,14,1.4,0.689,105,10.5,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.1.4,76,K,K1,1,4,10,0,0,0,0,0,0,51,2,49,4.9,49,26,2.6,0.469,105,10.5,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.2.1,77,K,K1,2,1,10,1,0.1,0,0,0,0,54,2,52,5.2,53,30,3,0.434,113,11.3,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.2.2,78,K,K1,2,2,10,0,0,0,0,0,0,38,1,37,3.7,37,18,1.8,0.514,113,11.3,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.2.3,79,K,K1,2,3,10,2,0.2,0,0,0,0,94,0,94,9.4,96,43,4.3,0.552,113,11.3,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.2.4,80,K,K1,2,4,10,3,0.3,0,0,0,0,46,1,45,4.5,48,22,2.2,0.542,113,11.3,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.3.1,81,K,K1,3,1,10,3,0.3,0,0,0,0,38,1,37,3.7,40,15,1.5,0.625,72,7.2,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.3.2,82,K,K1,3,2,10,0,0,0,0,0,0,33,1,32,3.2,32,9,0.9,0.719,72,7.2,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.3.3,83,K,K1,3,3,10,0,0,0,0,0,0,53,1,52,5.2,52,20,2,0.615,72,7.2,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.3.4,84,K,K1,3,4,10,0,0,0,0,0,0,49,2,47,4.7,47,28,2.8,0.404,72,7.2,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K2.1.1,85,K,K2,1,1,10,0,0,0,0,0,0,40,2,38,3.8,38,14,1.4,0.632,93,9.3,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.1.2,86,K,K2,1,2,10,1,0.1,0,0,0,0,42,1,41,4.1,42,22,2.2,0.476,93,9.3,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.1.3,87,K,K2,1,3,10,1,0.1,0,0,0,0,116,1,115,11.5,116,54,5.4,0.534,93,9.3,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.1.4,88,K,K2,1,4,10,0,0,0,0,0,0,8,2,6,0.6,6,3,0.3,0.5,93,9.3,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.2.1,89,K,K2,2,1,10,1,0.1,0,0,0,0,148,0,148,14.8,149,74,7.4,0.503,108,10.8,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.2.2,90,K,K2,2,2,10,0,0,0,0,0,0,45,1,44,4.4,44,22,2.2,0.5,108,10.8,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.2.3,91,K,K2,2,3,10,0,0,0,0,0,0,25,0,25,2.5,25,10,1,0.6,108,10.8,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.2.4,92,K,K2,2,4,10,0,0,0,0,0,0,8,0,8,0.8,8,2,0.2,0.75,108,10.8,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.3.1,93,K,K2,3,1,10,0,0,0,0,0,0,31,2,29,2.9,29,15,1.5,0.483,62,6.2,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.3.2,94,K,K2,3,2,10,0,0,0,0,0,0,34,1,33,3.3,33,13,1.3,0.606,62,6.2,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.3.3,95,K,K2,3,3,10,1,0.1,0,0,0,0,30,0,30,3,31,16,1.6,0.484,62,6.2,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.3.4,96,K,K2,3,4,10,0,0,0,0,0,0,36,1,35,3.5,35,18,1.8,0.486,62,6.2,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
SB1.1.1,97,SB,SB1,1,1,10,11,1.1,0,0,0,0,113,2,111,11.1,122,56,5.6,0.541,132,13.2,222.64,3221,64.6154,17.4359,13.8462,0,0,0.5128,31.8
SB1.1.2,98,SB,SB1,1,2,10,2,0.2,0,0,0,0,35,0,35,3.5,37,23,2.3,0.378,132,13.2,222.64,3221,64.6154,17.4359,13.8462,0,0,0.5128,31.8
SB1.1.3,99,SB,SB1,1,3,10,1,0.1,0,0,0,0,69,2,67,6.7,68,29,2.9,0.574,132,13.2,222.64,3221,64.6154,17.4359,13.8462,0,0,0.5128,31.8
SB1.1.4,100,SB,SB1,1,4,10,1,0.1,0,0,0,0,52,2,50,5,51,24,2.4,0.529,132,13.2,222.64,3221,64.6154,17.4359,13.8462,0,0,0.5128,31.8
SB1.2.1,101,SB,SB1,2,1,10,6,0.6,2,0.2,0,0,113,0,113,11.3,121,50,5,0.587,142,14.2,222.64,3221,64.6154,17.4359,13.8462,0,0,0.5128,31.8
SB1.2.2,102,SB,SB1,2,2,10,4,0.4,1,0.1,0,0,66,1,65,6.5,70,35,3.5,0.5,142,14.2,222.64,3221,64.6154,17.4359,13.8462,0,0,0.5128,31.8
SB1.2.3,103,SB,SB1,2,3,10,0,0,0,0,0,0,68,1,67,6.7,67,31,3.1,0.537,142,14.2,222.64,3221,64.6154,17.4359,13.8462,0,0,0.5128,31.8
SB1.2.4,104,SB,SB1,2,4,10,1,0.1,0,0,0,0,53,1,52,5.2,53,26,2.6,0.509,142,14.2,222.64,3221,64.6154,17.4359,13.8462,0,0,0.5128,31.8
SB1.3.1,105,SB,SB1,3,1,10,7,0.7,0,0,0,0,51,1,50,5,57,24,2.4,0.579,113,11.3,222.64,3221,64.6154,17.4359,13.8462,0,0,0.5128,31.8
SB1.3.2,106,SB,SB1,3,2,10,4,0.4,1,0.1,0,0,65,0,65,6.5,70,31,3.1,0.557,113,11.3,222.64,3221,64.6154,17.4359,13.8462,0,0,0.5128,31.8
SB1.3.3,107,SB,SB1,3,3,10,2,0.2,0,0,0,0,96,1,95,9.5,97,43,4.3,0.557,113,11.3,222.64,3221,64.6154,17.4359,13.8462,0,0,0.5128,31.8
SB1.3.4,108,SB,SB1,3,4,10,1,0.1,0,0,0,0,31,0,31,3.1,32,15,1.5,0.531,113,11.3,222.64,3221,64.6154,17.4359,13.8462,0,0,0.5128,31.8
SB2.1.1,109,SB,SB2,1,1,5,30,6,0,0,0,0,46,2,44,8.8,74,33,6.6,0.554,95,19,238.42,3387,66.9856,16.2679,12.9187,0,3.3493,0.4785,5.4
SB2.1.2,110,SB,SB2,1,2,5,22,4.4,13,2.6,0,0,26,0,26,5.2,61,24,4.8,0.607,95,19,238.42,3387,66.9856,16.2679,12.9187,0,3.3493,0.4785,5.4
SB2.1.3,111,SB,SB2,1,3,5,15,3,23,4.6,0,0,16,1,15,3,53,23,4.6,0.566,95,19,238.42,3387,66.9856,16.2679,12.9187,0,3.3493,0.4785,5.4
SB2.1.4,112,SB,SB2,1,4,5,3,0.6,1,0.2,0,0,19,0,19,3.8,23,15,3,0.348,95,19,238.42,3387,66.9856,16.2679,12.9187,0,3.3493,0.4785,5.4
SB2.2.1,113,SB,SB2,2,1,5,0,0,0,0,0,0,28,1,27,5.4,27,7,1.4,0.741,66,13.2,238.42,3387,66.9856,16.2679,12.9187,0,3.3493,0.4785,5.4
SB2.2.2,114,SB,SB2,2,2,5,13,2.6,0,0,0,0,34,2,32,6.4,45,27,5.4,0.4,66,13.2,238.42,3387,66.9856,16.2679,12.9187,0,3.3493,0.4785,5.4
SB2.2.3,115,SB,SB2,2,3,5,5,1,0,0,0,0,48,0,48,9.6,53,26,5.2,0.509,66,13.2,238.42,3387,66.9856,16.2679,12.9187,0,3.3493,0.4785,5.4
SB2.2.4,116,SB,SB2,2,4,5,8,1.6,0,0,0,0,6,0,6,1.2,14,6,1.2,0.571,66,13.2,238.42,3387,66.9856,16.2679,12.9187,0,3.3493,0.4785,5.4
SB2.3.1,117,SB,SB2,3,1,5,0,0,1,0.2,0,0,21,1,20,4,21,10,2,0.524,30,6,238.42,3387,66.9856,16.2679,12.9187,0,3.3493,0.4785,5.4
SB2.3.2,118,SB,SB2,3,2,5,7,1.4,0,0,0,0,20,1,19,3.8,26,12,2.4,0.538,30,6,238.42,3387,66.9856,16.2679,12.9187,0,3.3493,0.4785,5.4
SB2.3.3,119,SB,SB2,3,3,5,4,0.8,0,0,0,0,13,1,12,2.4,16,7,1.4,0.563,30,6,238.42,3387,66.9856,16.2679,12.9187,0,3.3493,0.4785,5.4
SB2.3.4,120,SB,SB2,3,4,5,0,0,0,0,0,0,3,1,2,0.4,2,1,0.2,0.5,30,6,238.42,3387,66.9856,16.2679,12.9187,0,3.3493,0.4785,5.4
SC1.1.1,121,SC,SC1,1,1,5,0,0,0,0,0,0,71,1,70,14,70,31,6.2,0.557,182,36.4,898.66,91,1.8868,0.4717,0,94.9292,2.2406,0.4717,14.8
SC1.1.2,122,SC,SC1,1,2,5,3,0.6,0,0,0,0,167,1,166,33.2,169,84,16.8,0.503,182,36.4,898.66,91,1.8868,0.4717,0,94.9292,2.2406,0.4717,14.8
SC1.1.3,123,SC,SC1,1,3,5,2,0.4,0,0,0,0,111,1,110,22,112,55,11,0.509,182,36.4,898.66,91,1.8868,0.4717,0,94.9292,2.2406,0.4717,14.8
SC1.1.4,124,SC,SC1,1,4,5,0,0,0,0,0,0,19,1,18,3.6,18,12,2.4,0.333,182,36.4,898.66,91,1.8868,0.4717,0,94.9292,2.2406,0.4717,14.8
SC1.2.1,125,SC,SC1,2,1,5,1,0.2,0,0,0,0,58,1,57,11.4,58,30,6,0.483,106,21.2,898.66,91,1.8868,0.4717,0,94.9292,2.2406,0.4717,14.8
SC1.2.2,126,SC,SC1,2,2,5,1,0.2,0,0,0,0,67,0,67,13.4,68,29,5.8,0.574,106,21.2,898.66,91,1.8868,0.4717,0,94.9292,2.2406,0.4717,14.8
SC1.2.3,127,SC,SC1,2,3,5,2,0.4,0,0,0,0,57,0,57,11.4,59,31,6.2,0.475,106,21.2,898.66,91,1.8868,0.4717,0,94.9292,2.2406,0.4717,14.8
SC1.2.4,128,SC,SC1,2,4,5,0,0,0,0,0,0,37,1,36,7.2,36,16,3.2,0.556,106,21.2,898.66,91,1.8868,0.4717,0,94.9292,2.2406,0.4717,14.8
SC1.3.1,129,SC,SC1,3,1,5,0,0,0,0,0,0,72,1,71,14.2,71,34,6.8,0.521,83,16.6,898.66,91,1.8868,0.4717,0,94.9292,2.2406,0.4717,14.8
SC1.3.2,130,SC,SC1,3,2,5,2,0.4,0,0,0,0,31,0,31,6.2,33,15,3,0.545,83,16.6,898.66,91,1.8868,0.4717,0,94.9292,2.2406,0.4717,14.8
SC1.3.3,131,SC,SC1,3,3,5,1,0.2,0,0,0,0,48,1,47,9.4,48,22,4.4,0.542,83,16.6,898.66,91,1.8868,0.4717,0,94.9292,2.2406,0.4717,14.8
SC1.3.4,132,SC,SC1,3,4,5,1,0.2,0,0,0,0,31,1,30,6,31,12,2.4,0.613,83,16.6,898.66,91,1.8868,0.4717,0,94.9292,2.2406,0.4717,14.8
SC2.1.1,133,SC,SC2,1,1,5,2,0.4,0,0,0,0,43,2,41,8.2,43,21,4.2,0.512,53,10.6,630.81,64,2.6667,0.5,0,94.3333,2.5,0,14.8
SC2.1.2,134,SC,SC2,1,2,5,0,0,0,0,0,0,38,1,37,7.4,37,15,3,0.595,53,10.6,630.81,64,2.6667,0.5,0,94.3333,2.5,0,14.8
SC2.1.3,135,SC,SC2,1,3,5,2,0.4,0,0,0,0,23,1,22,4.4,24,12,2.4,0.5,53,10.6,630.81,64,2.6667,0.5,0,94.3333,2.5,0,14.8
SC2.1.4,136,SC,SC2,1,4,5,0,0,0,0,0,0,12,1,11,2.2,11,5,1,0.545,53,10.6,630.81,64,2.6667,0.5,0,94.3333,2.5,0,14.8
SC2.2.1,137,SC,SC2,2,1,5,2,0.4,0,0,0,0,25,1,24,4.8,26,17,3.4,0.346,62,12.4,630.81,64,2.6667,0.5,0,94.3333,2.5,0,14.8
SC2.2.2,138,SC,SC2,2,2,5,0,0,0,0,0,0,25,1,24,4.8,24,7,1.4,0.708,62,12.4,630.81,64,2.6667,0.5,0,94.3333,2.5,0,14.8
SC2.2.3,139,SC,SC2,2,3,5,5,1,0,0,0,0,50,0,50,10,55,32,6.4,0.418,62,12.4,630.81,64,2.6667,0.5,0,94.3333,2.5,0,14.8
SC2.2.4,140,SC,SC2,2,4,5,0,0,0,0,0,0,11,1,10,2,10,6,1.2,0.4,62,12.4,630.81,64,2.6667,0.5,0,94.3333,2.5,0,14.8
SC2.3.1,141,SC,SC2,3,1,5,2,0.4,0,0,0,0,25,2,23,4.6,25,13,2.6,0.48,40,8,630.81,64,2.6667,0.5,0,94.3333,2.5,0,14.8
SC2.3.2,142,SC,SC2,3,2,5,1,0.2,0,0,0,0,26,1,25,5,26,14,2.8,0.462,40,8,630.81,64,2.6667,0.5,0,94.3333,2.5,0,14.8
SC2.3.3,143,SC,SC2,3,3,5,0,0,0,0,0,0,20,0,20,4,20,9,1.8,0.55,40,8,630.81,64,2.6667,0.5,0,94.3333,2.5,0,14.8
SC2.3.4,144,SC,SC2,3,4,5,0,0,0,0,0,0,8,0,8,1.6,8,4,0.8,0.5,40,8,630.81,64,2.6667,0.5,0,94.3333,2.5,0,14.8
